,Book,Author,Genres,Num_Ratings,description
1468,"hometown girl after all (hometown, #2)",Kirsten Fullmer,"['Contemporary', 'Young Adult', 'New Adult', 'Fiction', 'Adult', 'Love Story', 'Romance']",999,"Kirsten Fullmer ['Contemporary', 'Young Adult', 'New Adult', 'Fiction', 'Adult', 'Love Story', 'Romance']"
3033,"hometown girl after all (hometown, #2)",Kirsten Fullmer,"['Contemporary', 'Young Adult', 'New Adult', 'Fiction', 'Adult', 'Love Story', 'Romance']",999,"Kirsten Fullmer ['Contemporary', 'Young Adult', 'New Adult', 'Fiction', 'Adult', 'Love Story', 'Romance']"
4735,"belonging (temptation, #2)",Karen Ann Hopkins,"['Young Adult', 'Romance', 'Amish', 'Contemporary', 'Realistic Fiction', 'Young Adult Contemporary', 'Teen']",998,"Karen Ann Hopkins ['Young Adult', 'Romance', 'Amish', 'Contemporary', 'Realistic Fiction', 'Young Adult Contemporary', 'Teen']"
7411,تشي,أحمد خالد توفيق,"['Fiction', 'Novels', 'Fantasy']",998,"أحمد خالد توفيق ['Fiction', 'Novels', 'Fantasy']"
2796,living the best day ever,Hendri Coetzee,"['Nonfiction', 'Adventure']",997,"Hendri Coetzee ['Nonfiction', 'Adventure']"
922,"allegiant (divergent, #3)",Veronica Roth,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']","995,102","Veronica Roth ['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure']"
6951,the raj quartet,Paul Scott,"['Fiction', 'Historical Fiction', 'India', 'Historical', 'Classics', 'Novels', 'Literature']",995,"Paul Scott ['Fiction', 'Historical Fiction', 'India', 'Historical', 'Classics', 'Novels', 'Literature']"
273,"outlander (outlander, #1)",Diana Gabaldon,"['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']","990,607","Diana Gabaldon ['Historical Fiction', 'Romance', 'Fantasy', 'Fiction', 'Time Travel', 'Historical', 'Historical Romance']"
247,زندگی مه آلود پریا,سید مرتضی مصطفوی,['Fiction'],990,سید مرتضی مصطفوی ['Fiction']
8712,the demigod files,Rick Riordan,"['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Short Stories', 'Adventure']","99,875","Rick Riordan ['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Short Stories', 'Adventure']"
8120,"shadow's edge (night angel, #2)",Brent Weeks,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Magic', 'High Fantasy', 'Adventure', 'Dark Fantasy']","99,818","Brent Weeks ['Fantasy', 'Fiction', 'Epic Fantasy', 'Magic', 'High Fantasy', 'Adventure', 'Dark Fantasy']"
1172,those who save us,Jenna Blum,"['Historical Fiction', 'Fiction', 'World War II', 'Holocaust', 'Historical', 'War', 'Germany']","99,746","Jenna Blum ['Historical Fiction', 'Fiction', 'World War II', 'Holocaust', 'Historical', 'War', 'Germany']"
4723,"beezus and ramona (ramona, #1)",Beverly Cleary,"['Childrens', 'Fiction', 'Middle Grade', 'Classics', 'Realistic Fiction', 'Young Adult', 'Humor']","99,733","Beverly Cleary ['Childrens', 'Fiction', 'Middle Grade', 'Classics', 'Realistic Fiction', 'Young Adult', 'Humor']"
299,"the foundation trilogy (foundation, #1-3)",Isaac Asimov,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Literature']","99,646","Isaac Asimov ['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Space Opera', 'Literature']"
977,pygmalion,George Bernard Shaw,"['Classics', 'Plays', 'Fiction', 'Drama', 'Theatre', 'School', 'Literature']","99,531","George Bernard Shaw ['Classics', 'Plays', 'Fiction', 'Drama', 'Theatre', 'School', 'Literature']"
1369,braving the wilderness: the quest for true belonging and the courage to stand alone,Brené Brown,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Leadership', 'Spirituality']","99,463","Brené Brown ['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Leadership', 'Spirituality']"
3905,"dreamfever (fever, #4)",Karen Marie Moning,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Fae', 'Paranormal Romance', 'Adult']","99,433","Karen Marie Moning ['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Fae', 'Paranormal Romance', 'Adult']"
1330,haunted,Chuck Palahniuk,"['Horror', 'Fiction', 'Short Stories', 'Contemporary', 'Thriller', 'Adult', 'Novels']","99,412","Chuck Palahniuk ['Horror', 'Fiction', 'Short Stories', 'Contemporary', 'Thriller', 'Adult', 'Novels']"
